"date","close","volume","open","high","low"

"2016/09/16","37.3300","12013180.0000","37.9000","38.9900","35.8800"
"2016/09/15","36.4000","16495360.0000","37.3800","38.8900","34.4500"
"2016/09/14","37.0800","10944440.0000","35.7600","37.7750","34.3600"
"2016/09/13","37.1600","11069900.0000","34.4600","38.3100","34.2001"
"2016/09/12","33.2900","16944380.0000","37.8200","38.1700","32.3700"
"2016/09/09","36.0900","19030460.0000","32.3800","36.4899","32.3100"
"2016/09/08","30.9800","16317420.0000","29.5900","31.5700","28.7900"
"2016/09/07","29.0100","14093070.0000","28.9000","31.3000","28.6700"
"2016/09/06","28.7500","10750350.0000","31.4100","32.3400","28.5801"
"2016/09/02","33.5500","10631490.0000","33.9900","35.8600","33.0100"
"2016/09/01","37.4400","13264090.0000","42.7800","43.7000","37.2400"
"2016/08/31","42.2100","14290510.0000","41.5500","42.8300","40.4100"
"2016/08/30","40.0700","18665980.0000","36.0500","41.0900","35.6000"
"2016/08/29","35.0900","6022303.0000","36.4200","37.0300","34.0000"
"2016/08/26","35.3000","17188700.0000","32.5500","36.6000","30.5000"
"2016/08/25","34.7400","13349880.0000","36.2900","37.4400","32.5400"
"2016/08/24","36.0500","2000000.0000","31.0000","36.5000","30.9500"
"2016/08/23","29.7040","4996562.0000","27.7500","29.9500","27.6500"
"2016/08/22","28.5000","5132272.0000","28.4000","29.0000","28.1700"
"2016/08/19","27.1500","6910676.0000","26.7500","27.4500","26.2500"
"2016/08/18","25.3500","5054176.0000","25.5500","26.3500","25.1000"
"2016/08/17","26.2000","10253162.0000","25.8500","27.9500","25.6000"
"2016/08/16","25.1500","6641824.0000","24.8500","25.5500","24.4500"
"2016/08/15","25.0000","6200708.0000","24.4500","25.3000","24.0000"
"2016/08/12","24.5000","9494394.0000","22.8500","24.9000","22.8000"
"2016/08/11","24.5500","6630006.0000","23.9500","24.7500","22.9000"
"2016/08/10","24.0500","5834476.0000","23.4500","24.8000","23.0500"
"2016/08/09","25.3000","3989360.0000","25.4000","25.7185","24.8500"
"2016/08/08","26.0500","4744126.0000","26.8000","26.9000","25.1500"
"2016/08/05","26.6500","6935612.0000","26.4500","27.1000","26.1000"
"2016/08/04","24.4500","6068248.0000","24.5500","24.6625","23.8000"
"2016/08/03","25.0000","5366390.0000","24.6500","25.6500","24.6500"
"2016/08/02","24.1500","6991512.0000","24.1500","24.5180","23.4000"
"2016/08/01","25.0500","8468440.0000","26.3000","26.8500","24.8500"
"2016/07/29","26.0500","8591124.0000","26.9500","27.6750","25.5500"
"2016/07/28","28.4500","5942866.0000","27.9500","29.9000","27.5000"
"2016/07/27","28.4000","7575612.0000","31.2000","33.6500","27.7000"
"2016/07/26","32.8500","4942202.0000","33.9000","34.7500","31.9000"
"2016/07/25","35.7000","7052234.0000","33.7000","36.7000","33.6500"
"2016/07/22","32.1500","3538076.0000","33.2500","33.2500","31.6500"
"2016/07/21","31.9500","6449680.0000","34.0500","34.8500","31.3000"
"2016/07/20","35.2500","7346420.0000","32.3500","35.8500","32.3000"
"2016/07/19","30.0500","3121634.0000","29.7000","30.2500","29.2500"
"2016/07/18","29.1000","3989558.0000","29.3500","30.4500","29.0500"
"2016/07/15","29.5500","4582512.0000","30.1000","30.1500","28.8000"
"2016/07/14","28.6500","6360094.0000","30.5000","31.0500","28.5000"
"2016/07/13","28.1500","7103340.0000","29.1000","29.9000","27.4500"
"2016/07/12","31.1500","7698752.0000","28.8500","31.3000","28.3500"
"2016/07/11","27.9500","5673190.0000","29.1000","29.3000","27.6500"
"2016/07/08","28.2000","10242608.0000","30.9500","31.7000","27.7500"
"2016/07/07","31.0500","9220184.0000","29.8000","31.7000","29.6000"
"2016/07/06","28.4000","11586406.0000","30.0000","30.3950","28.1500"
"2016/07/05","31.4000","6336918.0000","32.0000","34.1000","31.0000"
"2016/07/01","33.5000","7751286.0000","35.8500","36.1000","32.8000"
"2016/06/30","39.1500","5616452.0000","40.3500","41.6500","39.0000"
"2016/06/29","41.6500","6856782.0000","42.4500","42.7000","39.5500"
"2016/06/28","44.4000","5756276.0000","44.5000","45.0500","42.6000"
"2016/06/27","42.3500","6089062.0000","42.8500","45.4500","40.6750"
"2016/06/24","43.7500","7722672.0000","37.9000","46.2500","37.7500"
"2016/06/23","53.2500","4224888.0000","53.4000","54.1000","50.8000"
"2016/06/22","51.9500","4443928.0000","55.0000","56.5000","51.9000"
"2016/06/21","55.6000","4876978.0000","54.6000","55.7500","53.0985"
"2016/06/20","51.3500","5254210.0000","55.1000","55.7000","50.4000"
"2016/06/17","50.3500","5323740.0000","49.5000","53.9000","49.0500"
"2016/06/16","52.2500","6505324.0000","44.0500","52.7500","44.0000"
